root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
lighterman	lightermen							
lightheaded		lightheadedly						
lighthearted		lightheartedly						
lighthouse	lighthouses				lighthouses			
lighting					lightings			
lightning					lightnings			
lightship	lightships				lightships			
lightsome		lightsomely						
lightweight	lightweights				lightweights			
ligne					lignes			
lignify	lignified,lignifying					lignifying	lignified	lignifies
lignin					lignins			
lignite					lignites			
lignum					lignums			
ligula	ligulae,ligulas				ligulae			
ligule					ligules			
like	liked,likes,liking	likely	liker,likest		likes	liking	liked	likes
likelihood					likelihoods			
likely			likelier,likeliest	likeliness				
liken	likened,likening,likens					likening	likened	likens
likeness	likenesses				likenesses			
liking					likings			
likuta	makuta				makuta			
lilac	lilacs				lilacs			
lilliput					lilliputs			
lilliputian	lilliputians				lilliputians			
lilt					lilts	lilting	lilted	lilts
lilting		liltingly						
lily	lilies				lilies			
lima					limas			
liman					limans			
limb	limbs				limbs			
limber	limbered,limbering,limbers	limberly	limberer,limberest			limbering	limbered	limbers
limbo	limbos				limbos			
limbus	limbi				limbi			
lime	limes				limes	liming	limed	limes
limeade	limeades				limeades			
limekiln					limekilns			
limelight					limelights			
limen					limina			
limerick	limericks				limericks			
limes	limites				limites			
limestone					limestones			
limey	limeys				limeys			
limit	limited,limiting,limits				limits	limiting	limited	limits
limitation	limitations				limitations			
limited		limitedly			limiteds			
limiter					limiters			
limitless		limitlessly						
limn						limning	limned	limns
limner					limners			
limnological		limnologically						
limo	limos				limos			
limonene					limonenes			
limonite					limonites			
limousine	limousines				limousines			
limp	limped,limping,limps	limply	limper,limpest		limps	limping	limped	limps
limper					limpers			
limpet	limpets				limpets			
limpid		limpidly		limpidity				
limpkin					limpkins			
limpness					limpnesses			
limulus	limuli				limuli			
limy			limier,limiest					
lin					lins			
linac					linacs			
linage					linages			
linalool					linalools			
linchpin	linchpins				linchpins			
lindane					lindanes			
linden	lindens				lindens			
lindy					lindies			
line	lined,lines,lining				lines	lining	lined	lines
lineage	lineages				lineages			
lineal		lineally		lineality				
lineament					lineaments			
linear		linearly		linearity				
linearise						linearising	linearised	
linearity					linearities			
linearize	linearizing,linearizized					linearizing	linearized	linearizes
linebacker	linebackers				linebackers			
linecut					linecuts			
lineman	linemen							
linen	linens				linens			
linendraper					linendrapers			
liner	liners				liners			
linesman	linesmen							
lineup	lineups				lineups			
ling					lings			
lingam					lingams			
lingberry					lingberries			
lingcod	lingcods				lingcods			
linger	lingered,lingering,lingers					lingering	lingered	lingers
lingerer					lingerers			
lingerie					lingeries			
lingo	lingoes				lingoes			
lingonberry	lingonberries				lingonberries			
lingua	linguae				linguae			
lingual		lingually		linguality	linguals			
linguine					linguines			
linguini					linguinis			
linguist	linguists				linguists			
linguistic		linguistically						
liniment	liniments				liniments			
linin					linins			
lining	linings				linings			
link	linked,linking,links					linking	linked	links
linkage	linkages				linkages			
linkboy					linkboys			
linkup	linkups				linkups			
linnet	linnets				linnets			
lino					linos			
linocut	linocuts				linocuts			
linoleum					linoleums			
linotype					linotypes			
linseed					linseeds			
linstock					linstocks			
lint					lints			
lintel	lintels				lintels			
linum					linums			
lion	lions				lions			
lioness	lionesses				lionesses			
lionfish					lionfishes			
lionhearted		lionheartedly						
lionise						lionising	lionised	lionises
lionize	lionized,lionizes,lionizing					lionizing	lionized	lionizes
lip	lipped,lips				lips			
lipase					lipases			
lipectomy					lipectomies			
lipid	lipids				lipids			
lipide					lipides			
lipoid					lipoids			
lipoma	lipomas,lipomata				lipomata			
lippy			lippier,lippiest					
lipread						lipreading		
lipstick	lipsticks				lipsticks			lipsticks
liquefaction					liquefactions			
liquefy	liquefied,liquefies,liquefying					liquefying	liquefied	liquefies
liquescent				liquescence				
liqueur	liqueurs				liqueurs			
liquid	liquids	liquidly		liquidity	liquids			
liquidate	liquidated,liquidates,liquidating					liquidating	liquidated	liquidates
liquidation	liquidations				liquidations			
liquidator	liquidators				liquidators			
liquidise						liquidising	liquidised	
liquidity					liquidities			
liquidize	liquidized,liquidizes,liquidizing					liquidizing	liquidized	liquidizes
liquidizer	liquidizers							
liquify						liquifying	liquified	liquifies
liquor					liquors			
lira	liras,lire				lire			
liriodendron					liriodendra			
lisle					lisles			
lisp	lisped,lisping,lisps				lisps	lisping	lisped	lisps
lisper					lispers			
lissom		lissomly						
lissome		lissomely						
list	listed,listing,lists				lists	listing	listed	lists
listen	listened,listening,listens					listening	listened	listens
listener	listeners				listeners			
listening					listenings			
lister					listers			
listeriosis					listerioses			
listing	listings				listings			
listless		listlessly						
listserv	listservs							
lit			litter					
litany	litanies				litanies			
litas					litu			
litchi					litchis			
lite								
liter	liters				liters			
literacy					literacies			
literal		literally		literality	literals			
literalise						literalising	literalised	
literalize	literalizing,literalizized					literalizing	literalized	
literary		literarily		literariness				
literate		literately			literates			
literature					literatures			
lithe		lithely	lither,lithest					
lithic		lithically						
lithium					lithiums			
lithograph	lithographs				lithographs	lithographing	lithographed	lithographs
lithographer					lithographers			
lithographic		lithographically						
lithotomy					lithotomies			
lithuanian					lithuanians			
litigant	litigants				litigants			
litigate	litigated,litigates,litigating					litigating	litigated	litigates
litigation					litigations			
litigator					litigators			
litigious		litigiously						
litmus					litmuses			
litre					litres			
litter	littered,littering,litters				litters	littering	littered	litters
litterateur					litterateurs			
litterbug	litterbugs				litterbugs			
litterer					litterers			
little			littler,littlest		littles			
littleneck					littlenecks			
littoral					littorals			
liturgical		liturgically						
liturgist					liturgists			
liturgy	liturgies				liturgies			
liv								
livable		livably						
live	lived,living	lively				living	lived	
livelihood	livelihoods				livelihoods			
lively		livelily	livelier,liveliest	liveliness				
liven	livened,livening,livens					livening	livened	livens
liveness					livenesses			
liver	livers			liverance	livers			
liverleaf					liverleaves			
liverwort					liverworts			
liverwurst					liverwursts			
livery	liveries				liveries			
livid		lividly		lividity				
lividity					lividities			
living	livings	livingly			livings			
lixiviate	lixiviated,lixiviating							
lixivium	lixivia,lixiviums				lixivia			
lizard	lizards				lizards			
lizardfish					lizardfishes			
llama	llamas				llamas			
llano	llanos				llanos			
loach					loaches			
load	loaded,loading,loads					loading	loaded	loads
loader					loaders			
loading					loadings			
loadstar					loadstars			
loadstone					loadstones			
loaf	loafed,loafing,loafs,loaves				loaves	loafing	loafed	loafs
loafer	loafers				loafers			
loam					loams			
loamy		loamily	loamier,loamiest	loaminess				
loan	loaned,loaning,loans				loans	loaning	loaned	loans
loaner					loaners			
loaning					loanings			
loanword	loanwords				loanwords			
loath		loathly						
loathe	loathed,loathes,loathing					loathing	loathed	loathes
loather					loathers			
loathing					loathings			
loathly				loathliness				
loathsome		loathsomely						
lob	lobbed,lobbing,lobs				lobs	lobbing,lobing	lobbed	lobs
lobate		lobately						
lobby	lobbied,lobbies,lobbying				lobbies	lobbying	lobbied	lobbies
lobbyism					lobbyisms			
lobbyist	lobbyists				lobbyists			
lobe	lobes				lobes			
lobectomy					lobectomies			
lobefin					lobefins			
lobelia	lobelias				lobelias			
loblolly					loblollies			
lobotomize	lobotomized,lobotomizes,lobotomizing							
lobotomy	lobotomies				lobotomies			
lobster	lobsters				lobsters			
lobular		lobularly						
lobule					lobules			
lobworm					lobworms			
local	locals	locally		locality	locals			
locale	locales				locales			
localise						localising	localised	localises
localism					localisms			
locality	localities				localities			
localization					localizations			
localize	localized,localizes,localizing					localizing	localized	localizes
locate	located,locates,locating					locating	located	locates
locater					locaters			
location	locations				locations			
locative	locatives				locatives			
locator					locators			
loch	lochs				lochs			
lock	locked,locking,locks				locks	locking	locked	locks
lockage					lockages			
